#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
1B|5Z437|32.730701|-100.521698|619.4|215437|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z440|32.7313|-100.521896|622.4|215440|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z443|32.731899|-100.522102|621.2|215443|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z446|32.732399|-100.522202|618.1|215446|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z449|32.733002|-100.5224|617.1|215449|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z452|32.7337|-100.522598|616.0|215452|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z455|32.7342|-100.522797|612.4|215455|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z458|32.734798|-100.522903|616.6|215458|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z461|32.735401|-100.523102|616.2|215461|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z464|32.736|-100.5233|616.3|215464|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z467|32.7365|-100.523399|616.7|215467|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z470|32.737099|-100.523598|624.2|215470|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z473|32.737701|-100.523804|620.4|215473|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z476|32.7383|-100.523903|620.5|215476|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z479|32.738899|-100.524101|624.6|215479|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z482|32.7397|-100.523598|620.3|215482|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z485|32.740101|-100.524399|622.1|215485|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z488|32.7407|-100.524597|622.3|215488|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z491|32.741299|-100.524803|622.5|215491|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z494|32.741798|-100.524902|625.3|215494|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
